,actorId,name,actorImgUrl,known,contentId
29,34486,Ashley Johnson,https://image.tmdb.org/t/p/w185/8s36QwB7Zq3PrbY1W6a6ctTFFoe.jpg,"['어벤져스', '왓 위민 원트', '블라인드스팟']","[24428, 3981, 62710]"
30,3505950,Eden Dambrine,https://image.tmdb.org/t/p/w185/9u8byzr9LpFvuvYk7bep6l8U5Ow.jpg,['클로즈'],[901563]
31,1481740,Rose Van Ginkel,https://image.tmdb.org/t/p/w185/dT5SDLURXVNfXcW0w2A9NigbiYw.jpg,"['69 + 1', 'Diary ng Panget', 'Boy Bastos']","[861252, 269660, 939934]"
32,2963,Nicolas Cage,https://image.tmdb.org/t/p/w185/ar33qcWbEgREn07ZpXv5Pbj8hbM.jpg,"['크루즈 패밀리', '내셔널 트레져', '고스트 라이더']","[49519, 2059, 1250]"
33,1992160,Adam Demos,https://image.tmdb.org/t/p/w185/wbBOnt8uvizAaxfvf7qzrROpic4.jpg,"['폴링 인 러브', '섹스/라이프', '퍼펙트 페어링']","[623195, 126280, 934761]"
34,17419,Bryan Cranston,https://image.tmdb.org/t/p/w185/7Jahy5LZX2Fo8fGJltMreAI49hC.jpg,"['브레이킹 배드', '개들의 섬', '아르고']","[1396, 399174, 68734]"
35,2217743,Eduardo Scarpetta,https://image.tmdb.org/t/p/w185/glcOrvJ7BWtG1ILCskEIYuCMlFz.jpg,"['Carosello Carosone', '카프리 레볼루션', '웃음의 왕']","[790346, 537880, 668408]"
36,10859,Ryan Reynolds,https://image.tmdb.org/t/p/w185/52GxBTYdLLc3x3UVSplZdHqj4RR.jpg,"['데드풀', '데드풀 2', '프리 가이']","[293660, 383498, 550988]"
37,122158,Saori Hara,https://image.tmdb.org/t/p/w185/jIaYlo0zMRG2qLwH5yiDkifRlo7.jpg,"['옥보단 3D', '호니 하우스 오브 호러', '牙狼＜GARO＞']","[67308, 70000, 1941]"
38,1620,Michelle Yeoh,https://image.tmdb.org/t/p/w185/6oxvfyrrM3YmhgFZSqc8ESqPZoC.jpg,"['에브리씽 에브리웨어 올앳원스', '와호장룡', '007 네버 다이']","[545611, 146, 714]"
39,8691,Zoe Saldaña,https://image.tmdb.org/t/p/w185/vQBwmsSOAd0JDaEcZ5p43J9xzsY.jpg,"['아바타', '가디언즈 오브 갤럭시', '가디언즈 오브 갤럭시 Vol. 2']","[19995, 118340, 283995]"
40,119592,Aubrey Plaza,https://image.tmdb.org/t/p/w185/2arI3oBAJhV1PX6X6MeaBtBcdHI.jpg,"['사탄의 인형', '오 마이 그랜파', '안전은 보장할 수 없음']","[533642, 291870, 84332]"
41,2524,Tom Hardy,https://image.tmdb.org/t/p/w185/4CR1D9VLWZcmGgh4b6kKuY2NOel.jpg,"['매드 맥스: 분노의 도로', '베놈', '베놈 2: 렛 데어 비 카니지']","[76341, 335983, 580489]"
42,38673,Channing Tatum,https://image.tmdb.org/t/p/w185/e5p1xrGtPfpJBQR9Pt3B6W4buZP.jpg,"['주피터 어센딩', '21 점프 스트리트', '화이트 하우스 다운']","[76757, 64688, 117251]"
43,6384,Keanu Reeves,https://image.tmdb.org/t/p/w185/4D0PpNI0kmP58hgrwGC3wCjxhnm.jpg,"['매트릭스', '존 윅', '존 윅: 리로드']","[603, 245891, 324552]"
44,1137824,Mia Goth,https://image.tmdb.org/t/p/w185/wQYG6PNKSdbBW5WCkS5CPVB5oQj.jpg,"['X', '더 큐어', '더 하우스']","[760104, 340837, 926899]"
45,190,Clint Eastwood,https://image.tmdb.org/t/p/w185/dU35NnjZ4aGw5abIJe3WXVf3Eey.jpg,"['그랜 토리노', '석양의 무법자', '라스트 미션']","[13223, 429, 504172]"
46,2729190,Becky Armstrong,https://image.tmdb.org/t/p/w185/qV2xYw8lS0KQRrdKalvIgMgUOKi.jpg,"['ทฤษฎีสีชมพู', '탄타입', 'แอบหลงรัก']","[155513, 93975, 157430]"
47,18897,Jackie Chan,https://image.tmdb.org/t/p/w185/nraZoTzwJQPHspAVsKfgl3RXKKa.jpg,"['러시 아워', '러시 아워 2', '러시 아워 3']","[2109, 5175, 5174]"
48,1674162,Jonathan Majors,https://image.tmdb.org/t/p/w185/6hI9NKqF7J6FtrQu9Afr7ZqipIL.jpg,"['더 하더 데이 폴', '러브크래프트 컨트리', 'Da 5 블러드']","[618162, 82816, 581859]"
49,1590797,Sadie Sink,https://image.tmdb.org/t/p/w185/tEHNLdwPmxu3Ikkvq8I6FUfGdZL.jpg,"['기묘한 이야기', '피어 스트리트 파트 2: 1978', '더 웨일']","[66732, 591274, 785084]"
50,23532,Jason Bateman,https://image.tmdb.org/t/p/w185/8e6mt0vGjPo6eW52gqRuXy5YnfN.jpg,"['주토피아', '스트레스를 부르는 그 이름 직장상사', '게임 나이트']","[269149, 51540, 445571]"
51,1245,Scarlett Johansson,https://image.tmdb.org/t/p/w185/6bBCPmc55gzP7TR9Th4WbykrYd0.jpg,"['루시', '블랙 위도우', '캡틴 아메리카: 윈터 솔져']","[240832, 497698, 100402]"
52,18973,Mila Kunis,https://image.tmdb.org/t/p/w185/811vCRSr9s2MFwCIOo1jWHltu3R.jpg,"['블랙 스완', '19곰 테드', '배드 맘스']","[44214, 72105, 376659]"
53,65731,Sam Worthington,https://image.tmdb.org/t/p/w185/blKKsHlJIL9PmUQZB8f3YmMBW5Y.jpg,"['아바타', '핵소 고지', '타이탄']","[19995, 324786, 18823]"
54,10980,Daniel Radcliffe,https://image.tmdb.org/t/p/w185/iPg0J9UzAlPj1fLEJNllpW9IhGe.jpg,"['해리 포터와 마법사의 돌', '해리 포터와 비밀의 방', '해리 포터와 아즈카반의 죄수']","[671, 672, 673]"
55,9273,Amy Adams,https://image.tmdb.org/t/p/w185/1h2r2VTpoFb5QefAaBYYQgQzL9z.jpg,"['컨택트', '녹터널 애니멀스', '맨 오브 스틸']","[329865, 340666, 49521]"
56,22226,Paul Rudd,https://image.tmdb.org/t/p/w185/8eTtJ7XVXY0BnEeUaSiTAraTIXd.jpg,"['앤트맨', '앤트맨과 와스프', '어벤져스: 엔드게임']","[102899, 363088, 299534]"
57,15250,Hope Davis,https://image.tmdb.org/t/p/w185/t2cuZK3D4x2j2DaDbD5lu0SM2Lv.jpg,"['리얼 스틸', '캡틴 아메리카: 시빌 워', '그린랜드']","[39254, 271110, 524047]"
